Perguntas;A;B;C;D;Resposta
Quanto é 2 + 2?;4;5;1;2;A
Quanto é 3 + 3?;5;3;6;1;C
Se um quadrado tem lado 2, qual é a sua área?;6;3;12;4;D
Quanto é 10 - 4?;5;8;4;6;D
Quanto é 5 x 5?;20;30;10;25;D
Quanto é 100 / 10?;5;20;10;50;C
Qual é a raiz quadrada de 16?;2;8;6;4;D
Quanto é 7 + 8?;13;15;17;14;B
Quanto é 3 x 4?;8;10;12;14;C
Qual é o resultado de 2³?;6;8;4;16;B
Quanto é 50% de 80?;20;30;50;40;D
Quanto é 15 / 3?;3;4;6;5;D
Quanto é 9 x 9?;72;81;90;63;B
Qual é o dobro de 17?;32;34;36;38;B
Quanto é 1000 - 237?;863;763;773;853;B
Quanto é 6 + 7 + 8?;20;21;22;19;B
Qual é a metade de 54?;28;25;27;26;C
Quanto é 4²?;8;12;16;20;C
Quanto é 13 x 3?;36;39;42;33;B
Quanto é 200 / 8?;20;30;25;40;C

