Perguntas;A;B;C;D;Resposta
Quanto é 15 + 8?;21;22;23;24;C
Quanto é 30 - 12?;16;17;18;19;C
Qual é o dobro de 9?;16;17;18;20;C
Quanto é 4 x 6?;20;22;24;26;C
Quanto é 20 / 4?;3;4;5;6;C
Qual é a metade de 36?;14;16;18;20;C
Quanto é 100 - 45?;50;55;60;65;B
Quanto é 7 x 3?;18;19;21;24;C
Quanto é 50 + 33?;80;83;85;88;B
Qual é o triplo de 8?;20;22;24;26;C
Quanto é 64 / 8?;6;7;8;9;C
Quanto é 25 + 17?;40;41;42;43;C
Quanto é 9 x 4?;32;34;36;38;C
Qual é a metade de 90?;40;42;45;50;C
Quanto é 100 / 5?;15;20;25;30;B
Quanto é 13 + 19?;30;31;32;33;C
Quanto é 48 / 6?;6;7;8;9;C
Quanto é 5 x 9?;40;43;45;50;C
Quanto é 77 - 29?;46;47;48;49;C
Qual é o dobro de 25?;40;45;50;55;C
