Perguntas;A;B;C;D;Resposta
Uma loja dá 20% de desconto em um produto de R$ 80,00. Qual o preço final?;R$ 56,00;R$ 60,00;R$ 64,00;R$ 68,00;C
João tem R$ 350,00 e gasta 40% com alimentação. Quanto sobra?;R$ 190,00;R$ 200,00;R$ 210,00;R$ 220,00;C
Um retângulo tem base 9 cm e altura 7 cm. Qual é sua área?;54 cm²;60 cm²;63 cm²;70 cm²;C
Um carro percorre 180 km em 3 horas. Qual é a velocidade média?;50 km/h;55 km/h;60 km/h;65 km/h;C
Numa prova de 20 questões, Pedro acertou 80%. Quantas ele errou?;2;3;4;5;C
Um triângulo tem base 12 cm e altura 8 cm. Qual é sua área?;42 cm²;46 cm²;48 cm²;52 cm²;C
Carlos investe R$ 500,00 a 6% de juros simples ao mês. Após 2 meses, qual o montante?;R$ 555,00;R$ 560,00;R$ 565,00;R$ 570,00;B
Uma torneira enche 150 litros em 3 horas. Quantos litros por hora?;40 L/h;45 L/h;50 L/h;55 L/h;C
O triplo de um número menos 6 é igual a 27. Qual é o número?;9;10;11;12;D
Um terreno tem 12 m de largura e 18 m de comprimento. Qual é o perímetro?;54 m;58 m;60 m;64 m;C
Em uma eleição, um candidato recebeu 3.600 de 9.000 votos. Que percentual é isso?;30%;35%;40%;45%;C
Numa receita para 6 pessoas usam-se 900g de farinha. Quantos gramas para 4 pessoas?;500 g;550 g;600 g;650 g;C
Um produto custava R$ 120,00 e teve aumento de 25%. Qual o novo preço?;R$ 140,00;R$ 145,00;R$ 150,00;R$ 155,00;C
Um trem parte às 7h e chega às 10h30, percorrendo 280 km. Qual a velocidade média?;70 km/h;75 km/h;80 km/h;85 km/h;C
Uma caixa com 3.600 litros está 25% cheia. Quantos litros faltam para completar?;2.400 L;2.500 L;2.600 L;2.700 L;D
Se 5 operários fazem um serviço em 12 dias, quantos dias 10 operários levarão?;4;5;6;7;C
O salário de Ana é R$ 1.800,00 e ela recebe aumento de 15%. Qual o novo salário?;R$ 2.000,00;R$ 2.050,00;R$ 2.070,00;R$ 2.100,00;C
Uma piscina de 4.800 litros é esvaziada em 8 horas. Quantos litros por hora?;500 L/h;550 L/h;600 L/h;650 L/h;C
Dois números somam 84 e um é o dobro do outro. Qual é o menor?;24;26;28;30;C
Um quadrado tem perímetro de 52 cm. Qual é sua área?;144 cm²;156 cm²;169 cm²;196 cm²;C
